ID,image,objects,fold
RoyalMail_0100,Image/RoyalMail_0100.jpg,Markup/RoyalMail_0100.xml,0
RoyalMail_0158,Image/RoyalMail_0158.jpg,Markup/RoyalMail_0158.xml,0
Special_0125,Image/Special_0125.jpg,Markup/Special_0125.xml,0
RoyalMail_0077,Image/RoyalMail_0077.jpg,Markup/RoyalMail_0077.xml,0
Special_0118,Image/Special_0118.jpg,Markup/Special_0118.xml,0
EAN13_09_0075,Image/EAN13_09_0075.jpg,Markup/EAN13_09_0075.xml,0
Special_0078,Image/Special_0078.jpg,Markup/Special_0078.xml,0
Special_0263,Image/Special_0263.tiff,Markup/Special_0263.xml,0
[P]ISBN_18_0074,Image/[P]ISBN_18_0074.jpg,Markup/[P]ISBN_18_0074.xml,0
EAN13_09_0034,Image/EAN13_09_0034.jpg,Markup/EAN13_09_0034.xml,0
QR-photo_26_0063,Image/QR-photo_26_0063.jpg,Markup/QR-photo_26_0063.xml,0
[S]ISBN_02_0082,Image/[S]ISBN_02_0082.tiff,Markup/[S]ISBN_02_0082.xml,0
Special_0180,Image/Special_0180.jpg,Markup/Special_0180.xml,0
Special_0201,Image/Special_0201.jpg,Markup/Special_0201.xml,0
[P]ISBN_18_0068,Image/[P]ISBN_18_0068.jpg,Markup/[P]ISBN_18_0068.xml,0
EAN13_09_0092,Image/EAN13_09_0092.jpg,Markup/EAN13_09_0092.xml,0
RoyalMail_0102,Image/RoyalMail_0102.jpg,Markup/RoyalMail_0102.xml,0
RoyalMail_0142,Image/RoyalMail_0142.jpg,Markup/RoyalMail_0142.xml,0
EAN13_09_0043,Image/EAN13_09_0043.jpg,Markup/EAN13_09_0043.xml,0
[P]ISBN_18_0004,Image/[P]ISBN_18_0004.jpg,Markup/[P]ISBN_18_0004.xml,0
RoyalMail_0095,Image/RoyalMail_0095.jpg,Markup/RoyalMail_0095.xml,0
RoyalMail_0071,Image/RoyalMail_0071.jpg,Markup/RoyalMail_0071.xml,0
RoyalMail_0016,Image/RoyalMail_0016.jpg,Markup/RoyalMail_0016.xml,0
Excise_stamp_0004,Image/Excise_stamp_0004.jpg,Markup/Excise_stamp_0004.xml,0
Special_0315,Image/Special_0315.jpg,Markup/Special_0315.xml,0
Special_0314,Image/Special_0314.jpg,Markup/Special_0314.xml,0
Special_0195,Image/Special_0195.jpg,Markup/Special_0195.xml,0
RoyalMail_0133,Image/RoyalMail_0133.jpg,Markup/RoyalMail_0133.xml,0
[S]ISBN_02_0037,Image/[S]ISBN_02_0037.tiff,Markup/[S]ISBN_02_0037.xml,0
Special_0023,Image/Special_0023.jpg,Markup/Special_0023.xml,0
RoyalMail_0040,Image/RoyalMail_0040.jpg,Markup/RoyalMail_0040.xml,0
Excise_stamp_0028,Image/Excise_stamp_0028.jpg,Markup/Excise_stamp_0028.xml,0
EAN13_09_0067,Image/EAN13_09_0067.jpg,Markup/EAN13_09_0067.xml,0
Excise_stamp_0041,Image/Excise_stamp_0041.jpg,Markup/Excise_stamp_0041.xml,0
Special_0028,Image/Special_0028.jpg,Markup/Special_0028.xml,0
[P]ISBN_18_0025,Image/[P]ISBN_18_0025.jpg,Markup/[P]ISBN_18_0025.xml,0
