ID,image,objects,fold
Special_0317,Image/Special_0317.jpg,Markup/Special_0317.xml,6
Excise_stamp_0022,Image/Excise_stamp_0022.jpg,Markup/Excise_stamp_0022.xml,6
Special_0002,Image/Special_0002.tif,Markup/Special_0002.xml,6
RoyalMail_0200,Image/RoyalMail_0200.jpg,Markup/RoyalMail_0200.xml,6
Special_0182,Image/Special_0182.jpg,Markup/Special_0182.xml,6
Excise_stamp_0040,Image/Excise_stamp_0040.jpg,Markup/Excise_stamp_0040.xml,6
EAN13_09_0057,Image/EAN13_09_0057.jpg,Markup/EAN13_09_0057.xml,6
QR-photo_26_0022,Image/QR-photo_26_0022.jpg,Markup/QR-photo_26_0022.xml,6
RoyalMail_0184,Image/RoyalMail_0184.jpg,Markup/RoyalMail_0184.xml,6
[S]ISBN_02_0047,Image/[S]ISBN_02_0047.tiff,Markup/[S]ISBN_02_0047.xml,6
QR-photo_26_0078,Image/QR-photo_26_0078.jpg,Markup/QR-photo_26_0078.xml,6
[S]ISBN_02_0025,Image/[S]ISBN_02_0025.tiff,Markup/[S]ISBN_02_0025.xml,6
[S]ISBN_02_0094,Image/[S]ISBN_02_0094.tiff,Markup/[S]ISBN_02_0094.xml,6
EAN13_09_0009,Image/EAN13_09_0009.jpg,Markup/EAN13_09_0009.xml,6
[P]ISBN_18_0024,Image/[P]ISBN_18_0024.jpg,Markup/[P]ISBN_18_0024.xml,6
EAN13_09_0040,Image/EAN13_09_0040.jpg,Markup/EAN13_09_0040.xml,6
Special_0037,Image/Special_0037.jpg,Markup/Special_0037.xml,6
RoyalMail_0034,Image/RoyalMail_0034.jpg,Markup/RoyalMail_0034.xml,6
RoyalMail_0084,Image/RoyalMail_0084.jpg,Markup/RoyalMail_0084.xml,6
Special_0284,Image/Special_0284.tiff,Markup/Special_0284.xml,6
Special_0164,Image/Special_0164.jpg,Markup/Special_0164.xml,6
Special_0220,Image/Special_0220.jpg,Markup/Special_0220.xml,6
Special_0252,Image/Special_0252.tiff,Markup/Special_0252.xml,6
Special_0261,Image/Special_0261.tiff,Markup/Special_0261.xml,6
RoyalMail_0043,Image/RoyalMail_0043.jpg,Markup/RoyalMail_0043.xml,6
Special_0207,Image/Special_0207.jpg,Markup/Special_0207.xml,6
RoyalMail_0078,Image/RoyalMail_0078.jpg,Markup/RoyalMail_0078.xml,6
RoyalMail_0195,Image/RoyalMail_0195.jpg,Markup/RoyalMail_0195.xml,6
QR-photo_26_0021,Image/QR-photo_26_0021.jpg,Markup/QR-photo_26_0021.xml,6
[P]ISBN_18_0048,Image/[P]ISBN_18_0048.jpg,Markup/[P]ISBN_18_0048.xml,6
Special_0239,Image/Special_0239.jpg,Markup/Special_0239.xml,6
[S]ISBN_02_0005,Image/[S]ISBN_02_0005.tiff,Markup/[S]ISBN_02_0005.xml,6
Special_0137,Image/Special_0137.jpg,Markup/Special_0137.xml,6
Special_0327,Image/Special_0327.jpg,Markup/Special_0327.xml,6
Special_0073,Image/Special_0073.jpg,Markup/Special_0073.xml,6
QR-photo_26_0016,Image/QR-photo_26_0016.jpg,Markup/QR-photo_26_0016.xml,6
QR-photo_26_0015,Image/QR-photo_26_0015.jpg,Markup/QR-photo_26_0015.xml,6
Special_0304,Image/Special_0304.tiff,Markup/Special_0304.xml,6
[S]ISBN_02_0033,Image/[S]ISBN_02_0033.tiff,Markup/[S]ISBN_02_0033.xml,6
Special_0278,Image/Special_0278.tiff,Markup/Special_0278.xml,6
RoyalMail_0129,Image/RoyalMail_0129.jpg,Markup/RoyalMail_0129.xml,6
Special_0048,Image/Special_0048.tiff,Markup/Special_0048.xml,6
RoyalMail_0106,Image/RoyalMail_0106.jpg,Markup/RoyalMail_0106.xml,6
QR-photo_26_0057,Image/QR-photo_26_0057.jpg,Markup/QR-photo_26_0057.xml,6
Excise_stamp_0044,Image/Excise_stamp_0044.jpg,Markup/Excise_stamp_0044.xml,6
[P]ISBN_18_0059,Image/[P]ISBN_18_0059.jpg,Markup/[P]ISBN_18_0059.xml,6
Special_0205,Image/Special_0205.jpg,Markup/Special_0205.xml,6
QR-photo_26_0012,Image/QR-photo_26_0012.jpg,Markup/QR-photo_26_0012.xml,6
[S]ISBN_02_0059,Image/[S]ISBN_02_0059.tiff,Markup/[S]ISBN_02_0059.xml,6
QR-photo_26_0068,Image/QR-photo_26_0068.jpg,Markup/QR-photo_26_0068.xml,6
Special_0206,Image/Special_0206.jpg,Markup/Special_0206.xml,6
RoyalMail_0060,Image/RoyalMail_0060.jpg,Markup/RoyalMail_0060.xml,6
RoyalMail_0074,Image/RoyalMail_0074.jpg,Markup/RoyalMail_0074.xml,6
RoyalMail_0181,Image/RoyalMail_0181.jpg,Markup/RoyalMail_0181.xml,6
Excise_stamp_0043,Image/Excise_stamp_0043.jpg,Markup/Excise_stamp_0043.xml,6
QR-photo_26_0054,Image/QR-photo_26_0054.jpg,Markup/QR-photo_26_0054.xml,6
QR-photo_26_0073,Image/QR-photo_26_0073.jpg,Markup/QR-photo_26_0073.xml,6
Special_0022,Image/Special_0022.tif,Markup/Special_0022.xml,6
RoyalMail_0027,Image/RoyalMail_0027.jpg,Markup/RoyalMail_0027.xml,6
RoyalMail_0196,Image/RoyalMail_0196.jpg,Markup/RoyalMail_0196.xml,6
Special_0302,Image/Special_0302.tiff,Markup/Special_0302.xml,6
[P]ISBN_18_0091,Image/[P]ISBN_18_0091.jpg,Markup/[P]ISBN_18_0091.xml,6
Excise_stamp_0052,Image/Excise_stamp_0052.jpg,Markup/Excise_stamp_0052.xml,6
Special_0235,Image/Special_0235.jpg,Markup/Special_0235.xml,6
RoyalMail_0183,Image/RoyalMail_0183.jpg,Markup/RoyalMail_0183.xml,6
Special_0320,Image/Special_0320.jpg,Markup/Special_0320.xml,6
Special_0307,Image/Special_0307.tiff,Markup/Special_0307.xml,6
[S]ISBN_02_0017,Image/[S]ISBN_02_0017.tiff,Markup/[S]ISBN_02_0017.xml,6
QR-photo_26_0090,Image/QR-photo_26_0090.jpg,Markup/QR-photo_26_0090.xml,6
Special_0240,Image/Special_0240.tif,Markup/Special_0240.xml,6
