epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.632,0.93582,8.50434,1.1182,0.61692,0.4913,0.39573,0.32185,0.6762,2.0924,0.9063,0.00014922,0.00014922,0.00014922
2,226.235,0.68725,3.0966,0.93949,0.8274,0.5055,0.55499,0.47817,0.62967,1.11395,0.8789,0.000271099,0.000271099,0.000271099
3,321.533,0.72554,2.04219,0.95506,0.89343,0.50969,0.61712,0.51709,0.68213,0.96544,0.90761,0.000362948,0.000362948,0.000362948
4,405.183,0.67276,1.44195,0.92963,0.87476,0.5809,0.55515,0.48039,0.58356,0.88998,0.87318,0.000319865,0.000319865,0.000319865
5,498.059,0.62771,1.21999,0.92677,0.6887,0.69894,0.74135,0.6375,0.59127,0.77522,0.87666,0.00027482,0.00027482,0.00027482
6,586.826,0.61068,1.04798,0.91311,0.78451,0.66493,0.73789,0.65243,0.49406,0.71733,0.84553,0.000229775,0.000229775,0.000229775
7,653.293,0.56728,0.87764,0.89541,0.62073,0.70759,0.70691,0.62541,0.47232,0.63811,0.86143,0.00018473,0.00018473,0.00018473
8,744.656,0.53685,0.83708,0.88753,0.7211,0.79708,0.71549,0.63348,0.44498,0.61887,0.84434,0.000139685,0.000139685,0.000139685
9,842.768,0.48437,0.7195,0.86281,0.84877,0.69911,0.82972,0.73557,0.41393,0.51471,0.82119,9.464e-05,9.464e-05,9.464e-05
10,933.567,0.44024,0.65416,0.85057,0.72894,0.73365,0.75927,0.68651,0.37581,0.48931,0.8178,4.9595e-05,4.9595e-05,4.9595e-05
